open_time,open,high,low,close,volume
2025-06-17 00:00:00,0.1722000,0.1722000,0.1721000,0.1721000,575.5359000
2025-06-17 00:01:00,0.1722000,0.1723000,0.1722000,0.1722000,3153.3539000
2025-06-17 00:02:00,0.1722000,0.1724000,0.1722000,0.1724000,1747.7190000
2025-06-17 00:03:00,0.1724000,0.1725000,0.1724000,0.1724000,4596.1238000
2025-06-17 00:04:00,0.1725000,0.1725000,0.1723000,0.1724000,1691.9970000
2025-06-17 00:05:00,0.1724000,0.1724000,0.1723000,0.1723000,148.7300000
2025-06-17 00:06:00,0.1723000,0.1724000,0.1723000,0.1723000,57.9073000
2025-06-17 00:07:00,0.1723000,0.1724000,0.1723000,0.1723000,56.0151000
2025-06-17 00:08:00,0.1723000,0.1723000,0.1721000,0.1721000,2303.5804000
2025-06-17 00:09:00,0.1721000,0.1721000,0.1721000,0.1721000,12.2191000
2025-06-17 00:10:00,0.1721000,0.1721000,0.1721000,0.1721000,88.1152000
2025-06-17 00:11:00,0.1722000,0.1722000,0.1721000,0.1722000,59.7502000
2025-06-17 00:12:00,0.1721000,0.1721000,0.1721000,0.1721000,407.1886000
2025-06-17 00:13:00,0.1721000,0.1721000,0.1721000,0.1721000,355.0423000
2025-06-17 00:14:00,0.1721000,0.1722000,0.1721000,0.1722000,20.6579000
2025-06-17 00:15:00,0.1721000,0.1721000,0.1720000,0.1720000,2972.4075000
2025-06-17 00:16:00,0.1720000,0.1721000,0.1720000,0.1721000,162.8880000
2025-06-17 00:17:00,0.1721000,0.1721000,0.1720000,0.1721000,34.2363000
2025-06-17 00:18:00,0.1721000,0.1721000,0.1720000,0.1721000,41.6410000
2025-06-17 00:19:00,0.1720000,0.1721000,0.1720000,0.1721000,54.7130000
2025-06-17 00:20:00,0.1720000,0.1721000,0.1720000,0.1721000,90.3184000
2025-06-17 00:21:00,0.1721000,0.1723000,0.1721000,0.1722000,1777.1818000
2025-06-17 00:22:00,0.1723000,0.1723000,0.1723000,0.1723000,334.4343000
2025-06-17 00:23:00,0.1724000,0.1725000,0.1724000,0.1725000,3554.1973000
2025-06-17 00:24:00,0.1724000,0.1725000,0.1724000,0.1725000,702.7562000
2025-06-17 00:25:00,0.1726000,0.1727000,0.1725000,0.1725000,6996.5455000
2025-06-17 00:26:00,0.1725000,0.1726000,0.1725000,0.1725000,139.1007000
2025-06-17 00:27:00,0.1725000,0.1726000,0.1725000,0.1726000,649.6663000
2025-06-17 00:28:00,0.1725000,0.1726000,0.1725000,0.1726000,188.4790000
2025-06-17 00:29:00,0.1726000,0.1726000,0.1726000,0.1726000,0.1726000
2025-06-17 00:30:00,0.1726000,0.1726000,0.1726000,0.1726000,33.6570000
2025-06-17 00:31:00,0.1726000,0.1726000,0.1725000,0.1725000,2326.9369000
2025-06-17 00:32:00,0.1726000,0.1726000,0.1725000,0.1725000,421.7116000
2025-06-17 00:33:00,0.1725000,0.1726000,0.1725000,0.1726000,52.8048000
2025-06-17 00:34:00,0.1725000,0.1726000,0.1723000,0.1723000,11112.0323000
2025-06-17 00:35:00,0.1724000,0.1724000,0.1723000,0.1723000,119.2530000
2025-06-17 00:36:00,0.1724000,0.1724000,0.1722000,0.1723000,1733.4571000
2025-06-17 00:37:00,0.1722000,0.1722000,0.1722000,0.1722000,1992.6984000
2025-06-17 00:38:00,0.1721000,0.1721000,0.1721000,0.1721000,33.2153000
2025-06-17 00:39:00,0.1721000,0.1723000,0.1721000,0.1723000,919.5351000
2025-06-17 00:40:00,0.1722000,0.1723000,0.1722000,0.1722000,90.2459000
2025-06-17 00:41:00,0.1723000,0.1725000,0.1722000,0.1724000,1370.0682000
2025-06-17 00:42:00,0.1724000,0.1724000,0.1724000,0.1724000,19.9984000
2025-06-17 00:43:00,0.1724000,0.1724000,0.1724000,0.1724000,228.2576000
2025-06-17 00:44:00,0.1725000,0.1725000,0.1724000,0.1724000,1648.0267000
2025-06-17 00:45:00,0.1724000,0.1725000,0.1724000,0.1724000,476.4010000
2025-06-17 00:46:00,0.1725000,0.1727000,0.1725000,0.1726000,4908.2807000
2025-06-17 00:47:00,0.1725000,0.1725000,0.1725000,0.1725000,28.2900000
2025-06-17 00:48:00,0.1726000,0.1726000,0.1726000,0.1726000,71.9742000
2025-06-17 00:49:00,0.1726000,0.1727000,0.1726000,0.1726000,1046.9608000
2025-06-17 00:50:00,0.1726000,0.1727000,0.1726000,0.1726000,37.8028000
2025-06-17 00:51:00,0.1727000,0.1727000,0.1726000,0.1726000,33.8489000
2025-06-17 00:52:00,0.1726000,0.1727000,0.1726000,0.1726000,10.5338000
2025-06-17 00:53:00,0.1727000,0.1727000,0.1726000,0.1726000,5.5262000
2025-06-17 00:54:00,0.1726000,0.1727000,0.1726000,0.1726000,99.7680000
2025-06-17 00:55:00,0.1726000,0.1727000,0.1726000,0.1727000,90.4596000
2025-06-17 00:56:00,0.1727000,0.1727000,0.1726000,0.1726000,38.6744000
2025-06-17 00:57:00,0.1726000,0.1726000,0.1726000,0.1726000,43.3226000
2025-06-17 00:58:00,0.1726000,0.1726000,0.1726000,0.1726000,22.4380000
2025-06-17 00:59:00,0.1726000,0.1727000,0.1726000,0.1727000,3647.0685000
2025-06-17 01:00:00,0.1726000,0.1728000,0.1726000,0.1728000,2895.4088000
2025-06-17 01:01:00,0.1728000,0.1728000,0.1726000,0.1726000,3786.3206000
2025-06-17 01:02:00,0.1726000,0.1727000,0.1726000,0.1726000,3603.5210000
2025-06-17 01:03:00,0.1726000,0.1726000,0.1726000,0.1726000,124.6172000
2025-06-17 01:04:00,0.1726000,0.1726000,0.1726000,0.1726000,32.2762000
2025-06-17 01:05:00,0.1726000,0.1727000,0.1726000,0.1726000,165.5421000
2025-06-17 01:06:00,0.1726000,0.1727000,0.1726000,0.1727000,2061.5988000
2025-06-17 01:07:00,0.1726000,0.1726000,0.1726000,0.1726000,39.8706000
2025-06-17 01:08:00,0.1726000,0.1729000,0.1726000,0.1728000,5136.0698000
2025-06-17 01:09:00,0.1728000,0.1728000,0.1727000,0.1727000,2276.8127000
2025-06-17 01:10:00,0.1727000,0.1728000,0.1727000,0.1728000,89.3051000
2025-06-17 01:11:00,0.1727000,0.1728000,0.1727000,0.1727000,48.5322000
2025-06-17 01:12:00,0.1728000,0.1728000,0.1727000,0.1728000,35.2411000
